Weight,,,,,
169,,,,,
161,,,,,
200,,,,,
180,,,,,
290,,,,,
272,,,,,
390,,,,,
270,,,,,
270,,,,,
306,,,,,
540,,,,,
800,,,,,
1000,,,,,
55,,,,,
60,,,,,
90,,,,,
120,,,,,
150,,,,,
140,,,,,
170,,,,,
145,,,,,
200,,,,,
273,,,,,
300,,,,,
5.9,,,,,
32,,,,,
40,,,,,
51.5,,,,,
70,,,,,
100,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,18.7,19.4,5.1992,3.1234,78
,19,20.2,5.6358,3.0502,80
,19.6,20.8,5.1376,3.0368,85
,20,21,5.082,2.772,85
,21,22.5,5.6925,3.555,110
,21,22.5,5.9175,3.3075,115
,21,22.5,5.6925,3.6675,125
,21.3,22.8,6.384,3.534,130
,22,23.5,6.11,3.4075,120
,22,23.5,5.64,3.525,120
,22,23.5,6.11,3.525,130
,22,23.5,5.875,3.525,135
,22,23.5,5.5225,3.995,110
,22.5,24,5.856,3.624,130
,22.5,24,6.792,3.624,150
,22.7,24.2,5.9532,3.63,145
,23,24.5,5.2185,3.626,150
,23.5,25,6.275,3.725,170
,24,25.5,7.293,3.723,225
,24,25.5,6.375,3.825,145
,24.6,26.2,6.7334,4.1658,188
,25,26.5,6.4395,3.6835,180
,25.6,27,6.561,4.239,197
,26.5,28,7.168,4.144,218
,27.3,28.7,8.323,5.1373,300
,27.5,28.9,7.1672,4.335,260
,27.5,28.9,7.0516,4.335,265
,27.5,28.9,7.2828,4.5662,250
,28,29.4,7.8204,4.2042,250
,28.7,30.1,7.5852,4.6354,300
,30,31.6,7.6156,4.7716,320
,32.8,34,10.03,6.018,514
,34.5,36.5,10.2565,6.3875,556
,35,37.3,11.4884,7.7957,840
,36.5,39,10.881,6.864,685
,36,38.3,10.6091,6.7408,700
,37,39.4,10.835,6.2646,700
,37,39.3,10.5717,6.3666,690
,39,41.4,11.1366,7.4934,900
,39,41.4,11.1366,6.003,650
,39,41.3,12.4313,7.3514,820
,40,42.3,11.9286,7.1064,850
,40,42.5,11.73,7.225,900
,40,42.4,12.3808,7.4624,1015
,40,42.5,11.135,6.63,820
,42,44.6,12.8002,6.8684,1100
,43,45.2,11.9328,7.2772,1000
,43,45.5,12.5125,7.4165,1100
,43.5,46,12.604,8.142,1000
,44,46.6,12.4888,7.5958,1000
,32.3,34.8,5.568,3.3756,200
,34,37.8,5.7078,4.158,300
,35,38.8,5.9364,4.3844,300
,37.3,39.8,6.2884,4.0198,300
,38,40.5,7.29,4.5765,430
,38.5,41,6.396,3.977,345
,42.5,45.5,7.28,4.3225,456
,42.5,45.5,6.825,4.459,510
,43,45.8,7.786,5.1296,540
,45,48,6.96,4.896,500
,46,48.7,7.792,4.87,567
,48,51.2,7.68,5.376,770
,51.7,55.1,8.9262,6.1712,950
,56,59.7,10.6863,6.9849,1250
,60,64,9.6,6.144,1600
,60,64,9.6,6.144,1550
,63.4,68,10.812,7.48,1650
,9.8,10.8,1.7388,1.0476,6.7
,10.5,11.6,1.972,1.16,7.5
,10.6,11.6,1.7284,1.1484,7
,11,12,2.196,1.38,9.7
,11.2,12.4,2.0832,1.2772,9.8
,11.3,12.6,1.9782,1.2852,8.7
,11.8,13.1,2.2139,1.2838,10
,11.8,13.1,2.2139,1.1659,9.9
,12,13.2,2.2044,1.1484,9.8
,12.2,13.4,2.0904,1.3936,12.2
,12.4,13.5,2.43,1.269,13.4
,13,13.8,2.277,1.2558,12.2
,14.3,15.2,2.8728,2.0672,19.7
,15,16.2,2.9322,1.8792,19.9
