Length1,Length2,Length3,Height,Width,Weight
50,5,,,,
23.2,25.4,30,11.52,4.02,242
24,26.3,31.2,12.48,4.3056,290
23.9,26.5,31.1,12.3778,4.6961,340
26.3,29,33.5,12.73,4.4555,363
26.5,29,34,12.444,5.134,430
26.8,29.7,34.7,13.6024,4.9274,450
26.8,29.7,34.5,14.1795,5.2785,500
27.6,30,35,12.67,4.69,390
27.6,30,35.1,14.0049,4.8438,450
28.5,30.7,36.2,14.2266,4.9594,500
28.4,31,36.2,14.2628,5.1042,475
28.7,31,36.2,14.3714,4.8146,500
29.1,31.5,36.4,13.7592,4.368,500
29.5,32,37.3,13.9129,5.0728,340
29.4,32,37.2,14.9544,5.1708,600
29.4,32,37.2,15.438,5.58,600
30.4,33,38.3,14.8604,5.2854,700
30.4,33,38.5,14.938,5.1975,700
30.9,33.5,38.6,15.633,5.1338,610
31,33.5,38.7,14.4738,5.7276,650
31.3,34,39.5,15.1285,5.5695,575
31.4,34,39.2,15.9936,5.3704,685
31.5,34.5,39.7,15.5227,5.2801,620
31.8,35,40.6,15.4686,6.1306,680
31.9,35,40.5,16.2405,5.589,700
31.8,35,40.9,16.36,6.0532,725
32,35,40.6,16.3618,6.09,720
32.7,36,41.5,16.517,5.8515,714
32.8,36,41.6,16.8896,6.1984,850
33.5,37,42.6,18.957,6.603,1000
35,38.5,44.1,18.0369,6.3063,920
35,38.5,44,18.084,6.292,955
36.2,39.5,45.3,18.7542,6.7497,925
37.4,41,45.9,18.6354,6.7473,975
38,41,46.5,17.6235,6.3705,950
12.9,14.1,16.2,4.1472,2.268,40
16.5,18.2,20.3,5.2983,2.8217,69
17.5,18.8,21.2,5.5756,2.9044,78
18.2,19.8,22.2,5.6166,3.1746,87
18.6,20,22.2,6.216,3.5742,120
19,20.5,22.8,6.4752,3.3516,0
19.1,20.8,23.1,6.1677,3.3957,110
19.4,21,23.7,6.1146,3.2943,120
20.4,22,24.7,5.8045,3.7544,150
20.5,22,24.3,6.6339,3.5478,145
20.5,22.5,25.3,7.0334,3.8203,160
21,22.5,25,6.55,3.325,140
21.1,22.5,25,6.4,3.8,160
16.8,18.7,19.4,5.1992,3.1234,78
17.2,19,20.2,5.6358,3.0502,80
